AirportCode,AirportName,Country
VCD,Clearwater Field Municipal, United States 
 NONE , Allegheny River , United States 
 SFO , SAN FRANCISCO INTL , United States 
 SFO , SAN FRANCISCO INTL , United States 
 2NC0 , Mountain Air Airport , United States 
 CNO , CHINO , United States 
MAW,Green Harbor Airport, United States 
AGX,Mountain Field Regional, United States 
 ASH , Boire Field , United States 
KNX,Mountain Creek International, Colombia 
 KSOP , Moore County Airport , United States 
 MHK , MANHATTAN MUNI , United States 
 LBB , Lubbock Preston Smith Int. , United States 
VNJ,Clearwater Bluff Airport, United States 
 1LA4 , BAYOU FOURCHON , United States 
 BME , Broome , Australia 
 JYO , Leesburg Municipal Airport , United States 
 JZI , Charleston Executive , United States 
 SUS , Spirit of St. Louis , United States 
 T89 , Castroville Municipal Airport , United States 
NID,Silver Hill Municipal, Germany 
PNR,Sky Point Regional, United States 
 PHK , PALM BEACH CO GLADES , United States 
 SLI , Los Alamitos Army Airfield , United States 
 OKK , KOKOMO MUNI , United States 
FMC,River Field Regional, United States 
 VVS , Connellsville Airport , United States 
LFB,Green Heights Airport, United States 
 NY02 , ARGYLE , United States 
 MRT , UNION COUNTY , United States 
 MEV , Minden-Tahoe , United States 
 0TE4 , Hilltop Lakes Airport , United States 
 DWH , DAVID WAYNE HOOKS MEMORIAL , United States 
 4R4 , H L Sonny Callahan Airport , United States 
 CA89 , Skylark Field , United States 
 E35 , FABENS , United States 
FOU,Redwood Heights Airport, United States 
 BIL , Billings Logan Intern Arpt , United States 
LGE,Sky Bluff International, United States 
 UMP , INDIANAPOLIS METROPOLITAN , United States 
 1SD1 , Burke Field Airport , United States 
 M01 , General Dewitt Spain Airport , United States 
 SYR , Syracuse Hancock International , United States 
 PTK , OAKLAND-PONTIAC , United States 
 RNT , Renton Municipal , United States 
QPK,Silver Field Municipal, United States 
 NV00 , Valley View Airport , United States 
 U77 , Spanish Fork Airport , United States 
 KDKK , Chautauqua County , United States 
UZN,River Creek Regional, United States 
 SPG , Albert Whitted , United States 
YBG,Clearwater Valley International, United States 
 10L2 , Steciak Strip Airport , United States 
 GE27 , Seaborn Smith , United States 
 PVT , Harden , United States 
 MCE , Merced Municipal Airport , United States 
 PVT ,Redwood Bay Airfield, United States 
 KEMV , Emporia-Greensville Regional , United States 
WRR,Silver Field Municipal,United States
SLC,River Valley International, Honduras 
 1B5 , Franconia Airport , United States 
ICI,Oak Bay Municipal, United States 
HLQ,River Field Regional, United States 
IDS,Sky Creek Airport, United States 
 DTA , Delta Municipal Airport , United States 
 NONE , Private , United States 
 MT53 , Carson Field , United States 
 RED , Red Lodge Airport , United States 
KYH,Mountain Hill Municipal, Israel 
JUJ,River Heights International, Mexico 
 ALM , White Sands Regional , United States 
 1AR9 , Country Air Estates Airport , United States 
 UT75 , Mineral Canyon Strip Airport , United States 
 NONE , Private Pasture , United States 
 CXP , Carson City , United States 
 GEU , Glendale Municipal Airport , United States 
 A34 , Dayton Valley Airpark , United States 
 SGU , ST GEORGE MUNI , United States 
 MPI , Mariposa-Yosemite , United States 
 KDLS , The Dalles Muni , United States 
BJV,Oak Hill International, United States 
 EUG , Mahlon Sweet Field , United States 
 ISZ , Cincinnati-Blue Ash Airport , United States 
 ISZ , Cincinnati-Blue Ash Airport , United States 
USC,Green Bluff Regional, United States 
XQB,Sky Field Municipal, United States 
WKA,Sunset Valley Airport, United States 
VAK,Mountain Field Regional, United States 
KVQ,Mountain Harbor Airport, United States 
 0C0 , DACY , United States 
 FFC , PEACHTREE CITY-FALCON FIELD , United States 
 HWO , NORTH PERRY , United States 
 MEV , Minden-Tahoe , United States 
XDL,Lake Springs International, United States 
WFB,Silver Point International, United States 
 3R9 , LAKEWAY AIRPARK , United States 
 12G , SHELBY COMMUNITY , United States 
 EYQ , Weiser Air Park , United States 
 ISZ , Cincinnati-Blue Ash Airport , United States 
 AVL , ASHEVILLE REGIONAL , United States 
WSX,Lake Springs Regional, United Kingdom 
 4G7 , Fairmount Municipal , United States 
 81D , Oxford County Regional Airport , United States 
 TEW , Mason Jewett Field Airport , United States 
 ENW , KENOSHA REGIONAL , United States 
 RYN , Ryan Field , United States 
 UXL , Southland Field Airport , United States 
LOA,Redwood Creek Regional, United States 
 SUS , SPIRIT OF ST LOUIS , United States 
ARK,Oak Bay Airport, Ireland 
 PAN , PAYSON , United States 
 EKY , Bessemer Airport , United States 
 KOFP , Hanover County Municipal , United States 
 RHV , REID-HILLVIEW OF SANTA CLARA C , United States 
 HIE , Mount Washington Regional , United States 
 0Q9 , Sonoma Skypark Airport , United States 
FNV,River Point Airport, United States 
EOK,Sky Harbor Regional, United States 
BNK,Sky Heights Municipal, Cameroon 
 MGJ , ORANGE COUNTY , United States 
 KFRG , Republic Aiport , United States 
 2B1 , Cape Code Airport , United States 
 AUN , Auburn Municipal Airport , United States 
 OP2 , Shoeatring Aviation Airfield , United States 
 SUE , DOOR COUNTY CHERRYLAND , United States 
 FME , Tipton Airport , United States 
 4AK6 , Wolf Lake , United States 
 KDAB , Daytona Beach International , United States 
GLK,Lake Field International, United States 
 NONE , Private , United States 
 NONE , Private , United States 
 2S7 , CHILOQUIN STATE , United States 
 LEE , Leesburg , United States 
 LAS , MC CARRAN INTL , United States 
DHZ,Green Springs Municipal, United States 
 DLN , Dillon , United States 
 NKT , CHERRY POINT MCAS /CUNNINGHAM , United States 
GAS,Silver Field International, United States 
 YNG , Youngstown-Warren Regional , United States 
 HHF , Hemphill County Airport , United States 
 0V7 , Kayenta Airport , United States 
 MFE , McAllen Miller International , United States 
 ATL , Hartsfield - Jackson Atlanta , United States 
 LNA , PALM BEACH COUNTY PARK , United States 
OPV,Oak Valley Regional, United Kingdom 
 3L2 , Sky Ranch , United States 
 DPA , DuPage Airport , United States 
RPJ,Sky Harbor International, United States 
 39Z , Flying-a-Ranch , United States 
 O85 , BENTON FIELD , United States 
 L65 , PERRIS VALLEY , United States 
PDQ,Sky Creek Airport, United States 
 LVK , LIVERMORE MUNI , United States 
 UNK , Crop Duster Airstrip , United States 
 KAST , Astoria Regional , United States 
 UNK , Carroll County/Jack B Poage , United States 
 AEG , DOUBLE EAGLE II , United States 
 HAO , HAMILTON-FAIRFIELD , United States 
RRI,Green Harbor Regional, United States 
TZF,River Valley Airfield, United States 
UQN,Mountain Field Regional, United States 
 KBMC , Brigham City Airport , United States 
YHI,Green Field Airport, Brazil 
 4SD , RENO/STEAD , United States 
KYJ,Green Harbor Municipal, United States 
JSL,Green Point Airfield, United States 
 SSI , Malcolm Mc Kinnon , United States 
 MEV , Minden-Tahoe , United States 
 KFME , Tipton , United States 
 6S5 , Ravalli County Airport , United States 
XSF,Sky Bay Airfield, United States 
 PVT ,Sky Bay Airfield, United States 
 GCN , GRAND CANYON NATIONAL PARK , United States 
 06U , JACKPOT/HAYDEN FIELD , United States 
LXV,Redwood Field Airfield, Honduras 
WOV,Redwood Bay Regional, United States 
 KLLN , Levelland Municipal , United States 
 TE01 , Dillard Ranch Airport , United States 
 SOW , Show Low , United States 
JPH,Green Springs International, United States 
 S39 , Prineville Airport , United States 
QXR,Sunset Heights Airport, United States 
 SAT , SAN ANTONIO INTL , United States 
PVD,Sky Harbor Airport, United States 
 9Z8 , Levelock , United States 
ZGJ,Silver Springs Airfield, Italy 
HWY,River Bay International, United States 
 E05 , HATCH MUNI , United States 
FSK,River Point Airfield, United States 
 WVI , WATSONVILLE MUNI , United States 
 RIC , Richmond International , United States 
 KDWH , David Wayne Hooks , United States 
TKX,Sky Bluff International, Guyana 
EFT,Oak Bluff International, United States 
 61X , HIDDEN RIVER , United States 
USG,Silver Heights Regional, United States 
EGQ,Clearwater Harbor Municipal, United States 
 BUR , Bob Hope Airport , United States 
KYY,Sunset Bluff International, United States 
 SXQ , SOLDOTNA , United States 
 NONE , Sierra Blanca , United States 
IWC,Clearwater Point Municipal, United States 
 ASH , Boire Field , United States 
 PAO , Palo Alto Airport of Santa Cla , United States 
 61AR , The Valley Airport , United States 
HYE,Mountain Bay Municipal, United States 
SZV,Clearwater Creek Regional, United States 
 03TN , Eagles Landing Heliport , United States 
 7MI2 , Beckman Airport , United States 
 NONE , Salmon Bar , United States 
 SEM , CRAIG FIELD , United States 
 KATL , William B. Hartsfield Int , United States 
 KIJD , Windham Airport , United States 
FSI,Silver Heights Airfield, United States 
ZLU,Sunset Heights Municipal, United Kingdom 
SOH,Mountain Harbor International, United States 
 SUA , WITHAM FIELD , United States 
PLO,Sunset Bluff International,United States
NQS,Sunset Heights Airport, Panama 
LXE,Clearwater Valley Municipal, United States 
DQX,Redwood Springs Regional, United States 
PNJ,Lake Point Regional, United States 
 VHN , Culberson County Airport , United States 
 VHN , Culberson County Airport , United States 
 U77 , Spanish Fork-Springville , United States 
 45G , Brighton Airport , United States 
 4M7 , Russellville-Logan County , United States 
NEH,River Springs Airfield, United States 
 LLN , Levelland Municipal Airport , United States 
JFD,Green Creek Airport, United States 
VKX,River Bluff Municipal, United States 
FNV,Silver Point Airfield, United States 
 HI58 , Turtle Bay Hilton Heliport , United States 
 DAN , Danville Regional Airport , United States 
PID,Silver Point Airfield, Saudi Arabia 
 WHP , Whiteman , United States 
 1G4 , Grand Canyon West , United States 
 3FL0 , Mount Royal Airpark , United States 
 LAL , Lakeland Linder Regional , United States 
 SNL , Shawnee Regional Airport , United States 
 SLK , Saranac Lake , United States 
LOB,Sunset Creek Airfield, Bahamas 
EON,Sky Creek Municipal, Greenland 
XEF,Silver Springs Municipal, United States 
 LAL , Lakeland Linder Regional , United States 
 PANC , Anchorage International , United States 
 CCR , Buchanan Field , United States 
THQ,Green Creek Airfield, United States 
HIL,Mountain Point Airfield, United States 
 I12 , Sidney Municipal Airport , United States 
QKK,Silver Bay Municipal, United States 
JPB,Lake Heights Municipal, United States 
 FXE , Fort Lauderdale Executive , United States 
 KLAL , Lakeland Linder Regional , United States 
YAU,Oak Heights Regional, United States 
 KSEX , Sedona , United States 
BBK,Mountain Bay Airport, United States 
 T40 , McGehee Catfish Restaurant  OK , United States 
 3WI9 , Rosenbaum Field Aiport , United States 
 CFE , Buffalo Municipal Airport , United States 
 APF , Naples Municipal Airport , United States 
 NONE , NONE , United States 
VBI,River Field Airport, United States 
EUM,Oak Harbor Regional, United States 
 FZY , Oswego County Airport , United States 
DCA,Silver Creek Municipal, United States 
 46CN , Crystal Airport , United States 
 46CN , Crystal Airport , United States 
 SRQ , SARASOTA/BRADENTON INTL , United States 
BPS,Lake Valley Regional, United States 
OKA,Mountain Point Municipal, United States 
 KTKI , Collin County Regional Airport , United States 
 KPTV , Porterville Muni , United States 
 FL97 , Tangerine Airport , United States 
 KTVC , Cherry Capitol Airport , United States 
 KSCK , Stockton Metro , United States 
 GEU , GLENDALE MUNICIPAL , United States 
 KLAX , Los Angeles , United States 
SJI,Clearwater Bluff International, United States 
 PWK , Chicago Executive , United States 
 DAN , DANVILLE REGIONAL , United States 
 FPK , Fitch H Beach Airport , United States 
 FTG , Front Range , United States 
 SAF , Santa Fe Municipal , United States 
WXP,Sky Bluff Municipal, Bahamas 
 EDN , Enterprise Municipal Airport , United States 
DQB,Redwood Harbor Airport, United Kingdom 
RHX,Lake Point International, United States 
 PGA , Page Municipal Airport , United States 
 KRHP , Andrews Nurphy County Airport , United States 
LIW,Green Harbor Regional, United States 
 TOP , PHILIP BILLARD MUNI , United States 
 Z95 , Cibecue Airport , United States 
WGL,Oak Hill Municipal, United States 
GVQ,Lake Valley Airport, United States 
 N/A , Farm Field , United States 
 PVT , Willis Airport , United States 
 JYO , Leesburg Executive Airport , United States 
 E16 , S. County Airport , United States 
 VGT , North Las Vegas , United States 
AIW,Mountain Springs Regional, United States 
KZP,Sky Point Airfield, United States 
 ORD , Chicago O'Hare Intl , United States 
 L77 , Chiriaco Summit Airport , United States 
 LHM , Lincoln , United States 
 UUO , Willow , United States 
 DCU , PRYOR FIELD , United States 
QRO,Silver Harbor Municipal, United States 
CBO,River Bluff Municipal, United States 
 KSUA , Witham Field , United States 
 EAT , PANGBORN MEMORIAL , United States 
QUW,Green Bay International, United States 
XEN,Sky Hill Municipal, United States 
 OCF , OCALA REGIONAL/JIM TAYLOR FIEL , United States 
 MAE , Madera Muni AP , United States 
 FZI , Fostoria Metropolitan , United States 
QMN,Lake Valley Airport, China 
 WHP , WHITEMAN , United States 
RAP,Sunset Bluff Regional, United States 
 T69 , SAN PATRICIO COUNTY , United States 
MVO,Lake Field International, Australia 
NOM,Silver Harbor Airfield, Austria 
 SCK , STOCKTON METROPOLITAN , United States 
GGL,Oak Bay International, United States 
 FXE , FORT LAUDERDALE EXECUTIVE , United States 
 OAK , METROPOLITAN OAKLAND INTL , United States 
 KBOI , Boise Air Terminal , United States 
 9B1 , Marlboro Airport , United States 
 KMYL , McCall Municipal Airport , United States 
IVN,Silver Bay Regional, United States 
 EYW , KEY WEST INTL , United States 
ZZR,Sky Point Municipal, United States 
 KBTF , Skypark , United States 
VLX, Arlington Municipal , United States 
 KSCD , Merkel Field Sylacauga Airport , United States 
 KPSP , Palm Springs International , United States 
RSD,River Field Airfield, United States 
 0L7 , JEAN , United States 
LUZ,Clearwater Springs Airfield, United States 
 INW , WINSLOW MUNI , United States 
 SWW , AVENGER FIELD , United States 
 5R4 , Foley Municipal Airport , United States 
 SFB , Orlando Sandford Intl Airport , United States 
 3RU , Rusty Airstrip , United States 
 OGG , KAHULUI , United States 
 AKR , AKRON FULTON INTL , United States 
 BLM , Monmouth Executive Airport , United States 
AXK,Lake Valley Municipal, Jordan 
OCE,Sky Hill Airfield, Saudi Arabia 
KNF,Green Bay Airfield, United States 
FYQ,Redwood Field Airfield, United States 
RKD,Green Bluff Airport, United States 
 ORL , Orlando Executive , United States 
 PHF , Newport News International , United States 
 CMA , Camarillo Airport , United States 
 FWN , Sussex , United States 
 KAGS , Augusta Regional Airport , United States 
 88R , Spicewood , United States 
NGQ,Mountain Harbor Regional, United States 
NPA, Private Airstip , United States 
XSK, Off Airport , United States 
FXN,Green Valley International, United States 
 AXX , ANGEL FIRE , United States 
 OBE , OKEECHOBEE COUNTY , United States 
 FTY , FULTON COUNTY AIRPORT-BROWN FI , United States 
 OGD , Ogden-Hinckley , United States 
 KLZU , Gwinnett County Briscoe Field , United States 
 0W3 , Harford County Airport , United States 
 50J , BERKELEY COUNTY , United States 
GCU,Lake Hill Airport, United States 
 MRN , Foothills Regional Airport , United States 
 NONE ,Redwood Field Airfield, United States 
XJK,Sky Harbor Airport, United States 
 LVK , Livermore Munic , United States 
 LVK , Livermore Munic , United States 
 RIL , GARFIELD COUNTY REGIONAL , United States 
QEX,Oak Harbor Municipal, Costa Rica 
 KAJR , Habersham County Airport , United States 
 PVG ," Pu Dong Airport, Shanghai, CN ", China 
 TN08 , OLIVER SPRINGS INC , United States 
 FLL , Hollywood International , United States 
 FTY , FULTON COUNTY AIRPORT-BROWN FI , United States 
 MYV , Yuba County Airport , United States 
 RHI , Rhinelander-Oneida County , United States 
 MS76 , Wade Field Airport , United States 
 KLEE , Leesburg International Airport , United States 
 68S , Davenport Airport , United States 
 U42 , Salt Lake #2 , United States 
 F05 , Wilbarger County Airport , United States 
NVK,Oak Hill Municipal, Germany 
 STN , London Stansted , United Kingdom 
 TJAB , Antonio Juarbe Pol Airport , United States 
 SFB , Orlando Sanford , United States 
 KBFE , Terry County , United States 
 NONE , Private strip , United States 
 CXU , CAMILLA-MITCHELL COUNTY , United States 
 BVY , Beverly Municipal Airport , United States 
 3M5 , MOONTOWN , United States 
 61C , FORT ATKINSON MUNI , United States 
 KS45 , Sietz Bay , United States 
 KSGU , St. George , United States 
 T40 , MCGEHEE CATFISH RESTAURANT , United States 
 LAS , McCarran International , United States 
 LAS , McCarran International , United States 
 KDAG , Dagget-Barstow , United States 
 KSEE , Gillespie Field , United States 
 57K , GILMORE , United States 
 KLMT , Klamath Falls , United States 
 JSJ , LUIS MUNOZ MARIN INTL , United States 
 KTIX , Space Coast Regional Airport , United States 
 NONE , Private strip , United States 
ETN,Oak Point Airfield, United States 
 ORD , CHICAGO O'HARE INTL , United States 
 K1U7 , Bear Lake County , United States 
 DGL , Douglas Municipal , United States 
DEN,Sky Point International, United States 
IQD,Sky Field Airfield, United States 
 BJC , JEFFCO , United States 
ZTU,Oak Bay International, United States 
RRC,Green Springs Airport, United States 
 PUB , Pueblo Municipal , United States 
 PUB , Pueblo Municipal , United States 
 PYM , Plymouth Municipal Airport , United States 
 KPHT , Henry County Airport , United States 
 BLM , Monmouth Executive , United States 
WJC,Lake Valley Regional, United States 
 E45 , Pine Mountain Lake , United States 
 EZF , Shannon Airport , United States 
 OSU , Ohio State University Airport , United States 
 W95 , Ocracoke Island Airport , United States 
 AQY , Girdwood , United States 
 Q12 , Williams Glider Port , United States 
SLM,Redwood Bay Municipal, United States 
 RNO , Reno Tahoe Int'l Airport , United States 
 AEG , Double Eagle II Airport , United States 
 SET , St Charles County Smartt , United States 
 IGM , Kingman Airport , United States 
 0F8 , William R. Pogue Municipal Air , United States 
 BCV , Birchwood Airport , United States 
 LEMT , Casarrubios del Monte , Spain 
 IGQ , Lansing Municipal Airport , United States 
 DVT , PHX Deer Valley AP , United States 
 GHG , Marshfield Municipal Airport , United States 
 ORF , Norfolk International Airport , United States 
AWR,Sunset Harbor Airport, United States 
 TPF , Peter O. Knight , United States 
AEC,Green Valley International, Malawi 
JFW,Sky Bluff International, United States 
 5C1 , BOERNE STAGE FIELD , United States 
 5C1 , BOERNE STAGE FIELD , United States 
 NONE ,Sunset Springs Airfield, United States 
 HI01 , PRINCEVILLE , United States 
BMP,Silver Harbor International, United States 
 61B , BOULDER CITY MUNI , United States 
 KTOC , Toccoa RG Letourneau Field , United States 
DVW,Lake Bluff Airfield, Germany 
JIA,Sky Hill Municipal, Germany 
FXP,Redwood Harbor Regional, Indonesia 
NTJ,Lake Field Municipal, United States 
 PUB , PUEBLO MEMORIAL , United States 
QTY,River Bay Airfield, United States 
XRH,Lake Bay International, United States 
 BFR , Virgil I Grissom Municipal , United States 
 NONE , Private property , United States 
YXS,Clearwater Hill Regional, United States 
 7FL6 , Spruce Creek Airport , United States 
AHT,Oak Point International, United States 
 BNG , BANNING MUNI , United States 
SKN,Sunset Point Municipal, United States 
 0E0 , Moriarty Airport , United States 
 SDM , BROWN FIELD MUNI , United States 
 VIS , VISALIA MUNI , United States 
HBK,Sky Creek Airfield, United States 
 PRC , ERNEST A. LOVE FIELD , United States 
DRH,River Hill Regional, United States 
EAN,Sunset Springs Airfield, United Kingdom 
OUV,River Field Airfield, United States 
 PNC , PONCA CITY MUNI , United States 
 CMA , CAMARILLO , United States 
 ILG , New Castle Airport , United States 
 KLKV , Lakeview , United States 
KNY,Green Point Airfield, United States 
OAD,Oak Bay Regional, United States 
 75FL , Sandy Creek Airpark , United States 
 9A1 , Covington Municipal Airport , United States 
 KDVT , Deer Valley Airport , United States 
 0L7 , Jean , United States 
FSX,Redwood Bay Municipal, United Kingdom 
 TLR , Mefford Field Airport , United States 
 MLB , Melbourne International , United States 
 6B4 , Frankfort-Highland Airport , United States 
 KVNC , Venice Municipal , United States 
OFL,Clearwater Springs Airport, United States 
 CCB , Cable Airport , United States 
 DAL , DALLAS LOVE FIELD , United States 
BIK,Redwood Bluff Regional, United States 
WRS,River Point Airport, United States 
 LWS , Lewiston-Nez Perce County , United States 
 79C , Brennand , United States 
LAY,Mountain Bluff International, United States 
 KFPR , St Lucie County Int'l , United States 
 BLI , Bellingham International , United States 
 ORD , Chicago O-Hare Intl , United States 
BRL,Clearwater Heights Municipal, Australia 
 BIV , Tulip City , United States 
BCP,Sky Harbor Airfield, United States 
 W75 , Hummel Field Airport , United States 
 S50 , Auburn Municipal Airport , United States 
 KOMN , Ormond Beach Municipal Airport , United States 
 F82 , Town & Country Airpark , United States 
WYW,Oak Bluff Airfield, United States 
 KGKY , Arlington Municpal Airport , United States 
 0TX1 , Pecan Plantation , United States 
PUJ,Oak Bluff Airport, Indonesia 
 KPRC , Prescott , United States 
 7FL4 , Haller Airpark , United States 
XFE,Redwood Hill Regional, Brazil 
 CDV , Cordova , United States 
DER,Silver Springs International, United States 
 5R3 , LAGO VISTA BAR-K AIRPARK , United States 
NTW,River Bay Airfield, United States 
 CLE , Cleveland Hopkins Internationa , United States 
 F29 , CLARENCE E PAGE MUNI , United States 
RBR,Oak Field International, United States 
FBF,River Bluff Airport, Italy 
 CPM , Compton , United States 
 44N , Sky Acres Airport , United States 
 KLVK , Livermore , United States 
 6R6 , Terrell County , United States 
 S67 , Nampa , United States 
 SUS , Spirit of St. Louis , United States 
SGM,Clearwater Field Municipal, Brazil 
 CBF , Coucil Bluffs Muni , United States 
 DEN , DENVER INTL , United States 
 KSEP , Clark Field Municipal , United States 
 X25 , Chalet Suzanne Airstrip , United States 
ZSF,Green Creek Regional, United States 
YLI,Silver Valley Municipal, United States 
NDF,Green Heights Municipal, Russia 
CBU,Sunset Bay International, United States 
KON,Redwood Harbor Municipal, Germany 
 GA06 , Monticello Sky Ranch Airport , United States 
 27A , Elbert County-Patz Field , United States 
 B18 , Alton Bay Seaplane Base , United States 
ICJ,Oak Harbor Airfield, United States 
RDX,Sunset Bay Municipal, United States 
KGR,Silver Creek Airfield," Korea, Republic Of "
 PVG , Shanghai International Airport , China 
WXN,Sky Bay Airport, United States 
 KATA , Hall-Miller Municipal , United States 
NFM,Green Bay Regional, France 
 PJY , Pinckneyville-Du Quoin , United States 
 KLNC , Lancaster , United States 
 JFK , JOHN F KENNEDY INTL , United States 
HZC,Sunset Point Airfield, United States 
ULI,Sky Bluff Municipal, United States 
 LGB , Long Beach , United States 
 DDC , DODGE CITY REGIONAL , United States 
 KSSI , Malcolm McKinnon , United States 
 GBD , GREAT BEND MUNI , United States 
 ECU , Edwards County Airport , United States 
 DAB , Daytona Beach Intl Airport , United States 
 RXE , Rexburg-Madison Cty Airport , United States 
 AIA , ALLIANCE MUNI , United States 
 1J6 , Bob Lee Flight Strip , United States 
OMO,River Springs Municipal, United States 
 8A9 , South Fulton , United States 
 BZN , GALLATIN FIELD , United States 
 KTVR , Vicksburg Municipal Airport , United States 
ERM,Green Point International, United States 
HKS,Oak Springs Airport, Australia 
 MIA , Miami International Airport , United States 
 KTKI , Collin County Regional Airport , United States 
 28U , Owyhee Reservoir State , United States 
 6A2 , GRIFFIN-SPALDING COUNTY , United States 
FMN,Sky Harbor Regional, United Kingdom 
ZDP,Green Field Regional, United States 
MVD,Lake Hill Airfield, United States 
 L08 , BORREGO VALLEY , United States 
MFW,Sunset Heights Regional, United States 
TQV,Redwood Creek Airfield, United States 
 DEN , Denver International Airport , United States 
SUS,Clearwater Field Airport, Australia 
 CGI , Cape Girardeau , United States 
SLI,Sunset Field Regional, Greenland 
 EWB , New Bedford Regional Airport , United States 
 X47 , Flagler Airport , United States 
MOI,Mountain Heights Regional, Canada 
BQZ,Redwood Point Municipal, United States 
TJF,Oak Bay Airfield, Fiji 
 PYM , Plymouth Municipal Airport , United States 
 DIK , DICKINSON MUNI , United States 
DEM,Oak Bay Regional, United States 
 ACY , Atlantic City International Ai , United States 
 KTDD , Portland-Troutdale , United States 
IIR,Green Springs Regional, United States 
FZT,Sunset Bay Regional, United States 
 WVI , WATSONVILLE MUNI , United States 
DBK,Sunset Springs Municipal, United States 
UVN,River Springs Regional, United States 
 1N7 , Blairstown , United States 
 MBO , Bruce Campbell Airport , United States 
VDB,Green Harbor Municipal, United States 
UNC,River Heights Airfield, Portugal 
 APA , CENTENNIAL , United States 
 80XS , COVEY TRAILS , United States 
JUA,Mountain Bay Airport, United States 
 KOJC , Johnson County Executive Airpo , United States 
 1F7 , Airpark East , United States 
 SEF , Sebring , United States 
MMU,Lake Heights Regional, United States 
 KDWH , David Wayne Hooks Memorial Air , United States 
UYT,Silver Point Airport, Switzerland 
MCD,Clearwater Field Municipal, Panama 
KGD,Silver Harbor Municipal, United States 
 MKE , General Mitchell International , United States 
 MKE , General Mitchell International , United States 
 BTP , Butler County , United States 
 SCK , Stockton Metropolitan , United States 
NEE,Silver Harbor Airport, Switzerland 
 KMLC , McAlester Regional Airport , United States 
 F70 , French Valley , United States 
QNL,Green Creek Regional, Malaysia 
 MKY , Marco Island Executive , United States 
 2S2 , Beaver Marsh State , United States 
 8A1 , Guntersville Municipal Airport , United States 
OAD,Clearwater Bluff Regional, United States 
 CAG , Craig-Moffat Airport , United States 
 KSLE , McNary Field , United States 
KXG,Silver Bay International, United States 
 KCHN , Wauchula Municipal Airport , United States 
 AMN , GRATIOT COMMUNITY , United States 
 LGW , Gatwick International Airport , United Kingdom 
 O37 , Haigh Field , United States 
 KPTV , Porterville Airport , United States 
 OFP , Hanover County , United States 
 DXR , Danbury Municipal Airport , United States 
 NONE , Low Level Ag Airstrip , United States 
SYN,Sky Heights Regional, United States 
KBL,Lake Point Airfield, United States 
WGY,Green Bluff Airfield, United States 
 RKS , ROCK SPRINGS-SWEETWATER COUNTY , United States 
 P52 , Cottonwood Airport , United States 
 1L9 , Parowan Airport , United States 
 EGE , Eagle County Regional Airport , United States 
 CDW , Essex County Airport , United States 
VTR,Sunset Springs Airfield, United States 
 X21 , Arthur Dunn Airpark , United States 
ZRB,Sky Creek Regional, United States 
 KTPA , Tampa International Airport , United States 
 KELP , El Paso International , United States 
 23CN , Douthitt Strip Airport , United States 
 RHV , REID-HILLVIEW OF SANTA CLARA C , United States 
BRR,Oak Hill International, United States 
IJG,Silver Field International, Guadeloupe 
 FMN , Four Corners Regional , United States 
 MGN , Harbor Springs Airport , United States 
FBK,Silver Point Airfield, United States 
 VNY , Van Nuys , United States 
 NONE , Ag Airstrip , United States 
 MDW , Chicago Midway Airport , United States 
 MYF , Montgomery Field , United States 
 KLAL , Lakeland Linder Regional , United States 
 ATL , THE WILLIAM B HARTSFIELD ATLAN , United States 
 WJF , General WJFox Airfield , United States 
BSY,Redwood Harbor Airfield, United States 
 LCK , Rickenbacker International , United States 
 29G , Portage County Airport , United States 
ZRE,Oak Heights Airport, United States 
 MGDL , Don Miguel Hidalgo Intl. , Mexico 
 JHW , Chautauqua County/Jamestown , United States 
 APA , Centennial , United States 
 PAKI , Kipnuk , United States 
MNL,River Valley Municipal, United States 
 JFK , John F. Kennedy International , United States 
MAC,River Creek International, Canada 
 IMM , Immokalee Airport , United States 
HOM,Oak Heights Airport, United States 
 LAA , LAMAR MUNI , United States 
UMH,Lake Field Municipal, United States 
 04WI , Dutch Gap Airstrip , United States 
AZQ,Silver Point Airport, Tanzania 
 DEN , Denver International , United States 
 DEN , Denver International , United States 
ISD,River Point Airfield, United States 
 KCAE , Columbia Metropolitan , United States 
PLQ,Sky Field Regional, United States 
 BVX , BATESVILLE REGIONAL , United States 
KPR,Clearwater Creek International, United States 
 N05 , Hackettstown Airport , United States 
 ALN , St. Louis Regional Airport , United States 
YSI,Lake Creek Airfield, United States 
 DCY , Daviess County , United States 
 KRVS , Richard L. Jones Jr , United States 
ODN,Redwood Harbor Airfield, United States 
KBC,Silver Springs Airport, Indonesia 
YYA,Clearwater Creek Airport, United States 
 88R ," Spicewood, TX ", United States 
 06U , Jackpot , United States 
 CBE , Greater Cumberland Reg Airport , United States 
 XS77 , Seafood Warehouse , United States 
YAT,Sunset Hill Airport, Greece 
LPA,Sunset Bay Regional, United States 
QCD,Green Point Regional, United States 
FED,Clearwater Springs Airport, United States 
 1V6 , Fremont County Airport , United States 
 SEE , Gillespie Field , United States 
 VNY , Van Nuys , United States 
PFA,Lake Bay Regional, United States 
CVJ,River Point Regional, Kenya 
SWR,Sky Bay Airfield, Mexico 
PXQ,Lake Point Municipal, New Zealand 
 KMWL , Mineral Wells , United States 
JLB,Sunset Bay International, United States 
 3S8 , Grants Pass , United States 
 RAP , RAPID CITY REGIONAL , United States 
