AccidentNumber,Date,WeatherCondition,InjurySeverity,AircraftDamage,LocationID
 MIA07CA119 , 07/12/2007 , VMC , Non-Fatal ,  ,998
 NYC07LA166 , 07/12/2007 , VMC , Non-Fatal , Substantial ,999
 ENG07WA039 , 07/12/2007 , VMC , Fatal(1) , Destroyed ,1000
 DEN07CA118 , 07/11/2007 , VMC , Non-Fatal , Substantial ,1001
 DFW07CA156 , 07/11/2007 , VMC , Non-Fatal , Substantial ,1002
 DEN07LA119 , 07/11/2007 , VMC , Non-Fatal , Substantial ,1003
 OPS07IA006A , 07/11/2007 , VMC , Incident ,  ,1004
 OPS07IA006B , 07/11/2007 , VMC , Incident ,  ,1005
 CHI07CA206 , 07/11/2007 , VMC , Non-Fatal , Substantial ,1006
 LAX07LA215 , 07/11/2007 , VMC , Non-Fatal , Substantial ,1007
 DFW07LA154 , 07/11/2007 , VMC , Non-Fatal , Substantial ,1008
 NYC07IA164 , 07/11/2007 , VMC , Incident , Minor ,1009
 DFW07LA155 , 07/10/2007 , VMC , Fatal(1) ,  ,1010
 ANC07LA064 , 07/10/2007 , VMC , Non-Fatal , Substantial ,1011
 NYC07MA162 , 07/10/2007 , VMC , Fatal(5) , Destroyed ,1012
 DEN07CA117 , 07/10/2007 , VMC , Non-Fatal , Substantial ,1013
 CHI07CA212 , 07/10/2007 , VMC , Non-Fatal , Substantial ,1014
 LAX07CA211 , 07/09/2007 , VMC , Non-Fatal , Destroyed ,1015
 MIA07FA117 , 07/09/2007 , VMC , Fatal(2) , Substantial ,1016
 DEN07LA114 , 07/09/2007 , VMC , Non-Fatal , Substantial ,1017
 ANC07LA062 , 07/09/2007 , VMC , Non-Fatal , Substantial ,1018
 CHI07LA204 , 07/09/2007 , VMC , Non-Fatal , Substantial ,1019
 LAX07CA213 , 07/09/2007 , VMC , Non-Fatal , Substantial ,1020
 DEN07CA115 , 07/09/2007 , VMC , Non-Fatal , Substantial ,1021
 LAX07LA212 , 07/09/2007 , VMC , Non-Fatal , Substantial ,1022
 ATL07FA102 , 07/09/2007 , IMC , Fatal(2) , Substantial ,1023
 LAX07LA210 , 07/08/2007 , VMC , Non-Fatal , Substantial ,1024
 DFW07LA179 , 07/08/2007 , VMC , Non-Fatal , Substantial ,1025
 NYC07FA159 , 07/08/2007 , VMC , Fatal(2) , Substantial ,1026
 NYC07CA163 , 07/08/2007 , VMC , Non-Fatal , Substantial ,1027
 LAX07LA209 , 07/08/2007 , VMC , Non-Fatal , Substantial ,1028
 DFW07LA153 , 07/08/2007 , VMC , Non-Fatal , Substantial ,1029
 DFW07LA152 , 07/08/2007 , VMC , Non-Fatal , Substantial ,1030
 MIA07CA122 , 07/08/2007 , VMC , Non-Fatal , Minor ,1031
 LAX07CA214 , 07/08/2007 , VMC , Non-Fatal , Minor ,1032
 NYC07CA161 , 07/08/2007 , VMC , Non-Fatal , Substantial ,1033
 CHI07LA249 , 07/08/2007 , VMC , Non-Fatal , Substantial ,1034
 DFW07LA164 , 07/08/2007 , VMC , Non-Fatal ,  ,1035
 LAX07FAMS1 , 07/07/2007 , VMC , Fatal(1) , Destroyed ,1036
 LAX07CA223 , 07/07/2007 , VMC , Non-Fatal , Substantial ,1037
 LAX07CA207 , 07/07/2007 , VMC , Non-Fatal , Substantial ,1038
 MIA07CA118 , 07/07/2007 , VMC , Non-Fatal , Substantial ,1039
 MIA07FA116 , 07/07/2007 , VMC , Non-Fatal , Substantial ,1040
 LAX07TA208 , 07/07/2007 , VMC , Non-Fatal , Substantial ,1041
 CHI07TA201 , 07/07/2007 , VMC , Non-Fatal , Substantial ,1042
 DFW07CA151 , 07/07/2007 , VMC , Non-Fatal , Substantial ,1043
 NYC07LA160 , 07/07/2007 , VMC , Non-Fatal , Substantial ,1044
 DFW07FA149 , 07/06/2007 , IMC , Fatal(1) , Destroyed ,1045
 CHI07CA192 , 07/06/2007 , VMC , Non-Fatal , Substantial ,1046
 CHI07CA200 , 07/06/2007 , VMC , Non-Fatal , Substantial ,1047
 DFW07CA150 , 07/06/2007 , VMC , Non-Fatal , Substantial ,1048
 CHI07LA199 , 07/06/2007 , VMC , Non-Fatal , Substantial ,1049
 ANC07LA063 , 07/06/2007 , VMC , Non-Fatal , Substantial ,1050
 CHI07LA193 , 07/05/2007 , VMC , Non-Fatal , Substantial ,1051
 CHI07LA195 , 07/05/2007 , VMC , Fatal(2) , Substantial ,1052
 LAX07CA205 , 07/05/2007 , VMC , Non-Fatal , Substantial ,1053
 LAX07CA206 , 07/05/2007 , VMC , Non-Fatal , Substantial ,1054
 NYC07CA158 , 07/05/2007 , VMC , Non-Fatal , Substantial ,1055
 DFW07WA159 , 07/05/2007 , VMC , Fatal(9) , Destroyed ,1056
 DEN07WA113 , 07/05/2007 , IMC , Fatal(2) , Destroyed ,1057
 OPS07IA007A , 07/05/2007 , VMC , Incident ,  ,1058
 OPS07IA007B , 07/05/2007 , VMC , Incident ,  ,1059
 ANC07CA061 , 07/05/2007 , VMC , Non-Fatal , Substantial ,1060
 CHI07CA194 , 07/04/2007 , VMC , Non-Fatal , Substantial ,1061
 DEN07CA120 , 07/04/2007 , VMC , Non-Fatal , Substantial ,1062
 LAX07CA203 , 07/04/2007 , VMC , Non-Fatal , Substantial ,1063
 DEN07CA112 , 07/04/2007 , VMC , Non-Fatal , Substantial ,1064
 CHI07LA191 , 07/04/2007 , VMC , Fatal(1) , Substantial ,1065
 SEA07CA193 , 07/03/2007 , VMC , Non-Fatal , Substantial ,1066
 LAX07FA200 , 07/03/2007 , IMC , Fatal(2) , Destroyed ,1067
 LAX07CA202 , 07/03/2007 , VMC , Non-Fatal , Substantial ,1068
 DEN07CA116 , 07/03/2007 , VMC , Non-Fatal , Substantial ,1069
 MIA07WA114 , 07/03/2007 , VMC , Non-Fatal , Destroyed ,1070
 NYC07LA157 , 07/03/2007 , VMC , Non-Fatal , Substantial ,1071
 DFW07LA148 , 07/02/2007 , VMC , Non-Fatal , Destroyed ,1072
 CHI07LA203 , 07/02/2007 , VMC , Non-Fatal , Substantial ,1073
 LAX07CA201 , 07/02/2007 , VMC , Non-Fatal , Substantial ,1074
 NYC07CA156 , 07/02/2007 , VMC , Non-Fatal , Substantial ,1075
 CHI07LA198 , 07/02/2007 , VMC , Non-Fatal , Substantial ,1076
 CHI07CA189 , 07/02/2007 , VMC , Non-Fatal , Substantial ,1077
 LAX07CA199 , 07/01/2007 , VMC , Non-Fatal , Substantial ,1078
 LAX07CA196 , 07/01/2007 , VMC , Non-Fatal , Substantial ,1079
 ATL07CA101 , 07/01/2007 , VMC , Non-Fatal , Substantial ,1080
 MIA07CA115 , 07/01/2007 , VMC , Non-Fatal , Substantial ,1081
 DEN07CA111 , 07/01/2007 , VMC , Non-Fatal , Substantial ,1082
 ANC07LA060 , 07/01/2007 , VMC , Non-Fatal , Substantial ,1083
 NYC07LA155 , 07/01/2007 , VMC , Fatal(1) , Substantial ,1084
 ANC07WA065 , 07/01/2007 , VMC , Fatal(2) , Substantial ,1085
 SEA07LA204 , 06/30/2007 , VMC , Non-Fatal , Substantial ,1086
 DFW07CA147 , 06/30/2007 , VMC , Non-Fatal , Substantial ,1087
 SEA07CA192 , 06/30/2007 , VMC , Non-Fatal , Substantial ,1088
 CHI07FA187 , 06/30/2007 , VMC , Fatal(2) , Destroyed ,1089
 CHI07CA188 , 06/30/2007 , VMC , Non-Fatal , Destroyed ,1090
 CHI07CA202 , 06/29/2007 , VMC , Non-Fatal , Substantial ,1091
 SEA07CA191 , 06/29/2007 , VMC , Non-Fatal , Substantial ,1092
 DEN07CA110 , 06/29/2007 , VMC , Non-Fatal , Substantial ,1093
 ATL07CA099 , 06/29/2007 , VMC , Non-Fatal , Substantial ,1094
 LAX07LA197 , 06/29/2007 , VMC , Non-Fatal , Substantial ,1095
 NYC07WA153 , 06/29/2007 , VMC , Fatal(2) , Destroyed ,1096
 SEA07LA190 , 06/29/2007 , VMC , Non-Fatal , Substantial ,1097
 LAX07IA198 , 06/29/2007 , VMC , Incident , Minor ,1098
 ANC07LA059 , 06/28/2007 , VMC , Non-Fatal , Substantial ,1099
 SEA07FA189 , 06/28/2007 , VMC , Fatal(1) , Substantial ,1100
 ANC07LA058 , 06/28/2007 , VMC , Non-Fatal , Substantial ,1101
 CHI07LA185 , 06/28/2007 , VMC , Non-Fatal , Substantial ,1102
 CHI07FA183 , 06/28/2007 , VMC , Fatal(3) , Destroyed ,1103
 DFW07CA146 , 06/28/2007 , VMC , Non-Fatal , Substantial ,1104
 DCA07WA054 , 06/28/2007 , VMC , Fatal(6) , Destroyed ,1105
 CHI07CA196 , 06/28/2007 , VMC , Non-Fatal , Substantial ,1106
 CHI07CA190 , 06/28/2007 , VMC , Non-Fatal , Substantial ,1107
 NYC07CA154 , 06/28/2007 , VMC , Non-Fatal , Substantial ,1108
 NYC07CA151 , 06/27/2007 , VMC , Non-Fatal , Substantial ,1109
 CHI07FA184B , 06/27/2007 , VMC , Non-Fatal , Substantial ,1110
 CHI07FA184A , 06/27/2007 , VMC , Non-Fatal , Minor ,1111
 LAX07LA204 , 06/27/2007 , VMC , Non-Fatal ,  ,1112
 MIA07CA112 , 06/27/2007 , VMC , Non-Fatal , Substantial ,1113
 ANC07LA057 , 06/26/2007 , VMC , Non-Fatal , Substantial ,1114
 SEA07LA187 , 06/26/2007 , VMC , Non-Fatal , Substantial ,1115
 ANC07LA056 , 06/26/2007 , VMC , Non-Fatal , Substantial ,1116
 CHI07CA180 , 06/26/2007 , VMC , Non-Fatal , Substantial ,1117
 SEA07CA183 , 06/26/2007 , VMC , Non-Fatal , Substantial ,1118
 SEA07CA185 , 06/26/2007 , VMC , Non-Fatal , Substantial ,1119
 CHI07CA181 , 06/26/2007 , VMC , Non-Fatal , Destroyed ,1120
 NYC07CA150 , 06/26/2007 , VMC , Non-Fatal , Substantial ,1121
 LAX07CA194 , 06/26/2007 , VMC , Non-Fatal , Substantial ,1122
 CHI07CA186 , 06/25/2007 , VMC , Non-Fatal , Substantial ,1123
 SEA07CA182 , 06/25/2007 , VMC , Non-Fatal , Substantial ,1124
 SEA07CA180 , 06/25/2007 , VMC , Non-Fatal , Substantial ,1125
 SEA07CA184 , 06/25/2007 , VMC , Non-Fatal , Destroyed ,1126
 DCA07WA053 , 06/25/2007 , VMC , Non-Fatal , Minor ,1127
 CHI07FA182 , 06/25/2007 , IMC , Fatal(2) , Destroyed ,1128
 DEN07LA108 , 06/25/2007 , VMC , Fatal(2) , Destroyed ,1129
 SEA07TA181 , 06/25/2007 , VMC , Non-Fatal , Substantial ,1130
 NYC07LA148 , 06/24/2007 , VMC , Fatal(2) , Substantial ,1131
 CHI07LA177 , 06/24/2007 , VMC , Non-Fatal , Substantial ,1132
 SEA07CA179 , 06/24/2007 , VMC , Non-Fatal , Substantial ,1133
 ANC07CA053 , 06/24/2007 , VMC , Non-Fatal , Substantial ,1134
 ATL07CA097 , 06/24/2007 , VMC , Non-Fatal , Substantial ,1135
 CHI07CA178 , 06/24/2007 , VMC , Non-Fatal , Substantial ,1136
 ANC07FA054 , 06/24/2007 , VMC , Fatal(2) , Substantial ,1137
 DEN07CA107 , 06/24/2007 , VMC , Non-Fatal , Destroyed ,1138
 LAX07CA193 , 06/24/2007 , VMC , Non-Fatal , Substantial ,1139
 ANC07LA055 , 06/24/2007 , VMC , Non-Fatal , Substantial ,1140
 ATL07CA095 , 06/23/2007 , VMC , Non-Fatal , Substantial ,1141
 ATL07CA096 , 06/23/2007 , VMC , Non-Fatal , Substantial ,1142
 ATL07CA098 , 06/23/2007 , VMC , Non-Fatal , Substantial ,1143
 DFW07WA180 , 06/23/2007 , VMC , Incident ,  ,1144
 CHI07LA179 , 06/23/2007 , VMC , Non-Fatal , Substantial ,1145
 SEA07LA178 , 06/23/2007 , VMC , Non-Fatal , Substantial ,1146
 SEA07LA177 , 06/22/2007 , VMC , Fatal(2) , Substantial ,1147
 CHI07FA176 , 06/22/2007 , VMC , Fatal(1) , Destroyed ,1148
 DFW07CA145 , 06/22/2007 , VMC , Non-Fatal , Substantial ,1149
 SEA07CA186 , 06/22/2007 , VMC , Non-Fatal , Substantial ,1150
 DEN07CA105 , 06/22/2007 , VMC , Non-Fatal , Substantial ,1151
 SEA07CA176 , 06/22/2007 , VMC , Non-Fatal , Substantial ,1152
 DEN07CA103 , 06/22/2007 , VMC , Non-Fatal , Substantial ,1153
 NYC07LA147 , 06/22/2007 , VMC , Fatal(1) , Substantial ,1154
 MIA07LA111 , 06/22/2007 , VMC , Non-Fatal , Substantial ,1155
 ANC07CA052 , 06/22/2007 , VMC , Non-Fatal , Substantial ,1156
 NYC07FA145 , 06/21/2007 , VMC , Fatal(2) , Destroyed ,1157
 DEN07CA102 , 06/21/2007 , VMC , Non-Fatal , Substantial ,1158
 ATL07CA094 , 06/21/2007 , VMC , Non-Fatal , Substantial ,1159
 MIA07WA110 , 06/21/2007 , VMC , Non-Fatal , Destroyed ,1160
 DFW07CA142 , 06/20/2007 , VMC , Non-Fatal , Substantial ,1161
 DEN07CA104 , 06/20/2007 , VMC , Non-Fatal , Substantial ,1162
 CHI07CA175 , 06/20/2007 , VMC , Non-Fatal , Substantial ,1163
 NYC07LA146 , 06/20/2007 , VMC , Non-Fatal , Substantial ,1164
 CHI07LA173 , 06/20/2007 , VMC , Non-Fatal , Substantial ,1165
 CHI07LA174 , 06/20/2007 , VMC , Non-Fatal , Substantial ,1166
 SEA07TA174 , 06/20/2007 , VMC , Non-Fatal , Substantial ,1167
 DEN07LA101 , 06/20/2007 , VMC , Non-Fatal , Substantial ,1168
 DFW07CA143 , 06/20/2007 , VMC , Non-Fatal , Destroyed ,1169
 DFW07CA139 , 06/19/2007 , VMC , Non-Fatal , Destroyed ,1170
 SEA07LA173 , 06/19/2007 , VMC , Non-Fatal , Substantial ,1171
 ANC07FA051 , 06/19/2007 , VMC , Non-Fatal , Substantial ,1172
 CHI07CA172 , 06/19/2007 , VMC , Non-Fatal , Substantial ,1173
 LAX07CA192 , 06/19/2007 , VMC , Non-Fatal , Substantial ,1174
 DFW07WA141 , 06/19/2007 , VMC , Fatal(1) , Destroyed ,1175
 ATL07CA091 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1176
 SEA07CA171 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1177
 SEA07CA167 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1178
 CHI07LA205 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1179
 NYC07CA141 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1180
 NYC07LA144 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1181
 DFW07LA144 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1182
 SEA07LA172 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1183
 SEA07LA160 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1184
 ATL07LA092 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1185
 MIA07WA113 , 06/18/2007 , VMC , Non-Fatal , Substantial ,1186
 SEA07LA163 , 06/17/2007 , VMC , Non-Fatal , Substantial ,1187
 NYC07LA140 , 06/17/2007 , VMC , Non-Fatal , Destroyed ,1188
 OPS07IA005A , 06/17/2007 , VMC , Incident , Minor ,1189
 OPS07IA005B , 06/17/2007 , VMC , Incident ,  ,1190
 ANC07CA049 , 06/17/2007 , VMC , Non-Fatal , Substantial ,1191
 SEA07CA164 , 06/17/2007 , VMC , Non-Fatal , Substantial ,1192
 DEN07CA109 , 06/17/2007 , VMC , Non-Fatal , Substantial ,1193
 DFW07CA136 , 06/16/2007 , VMC , Non-Fatal , Substantial ,1194
 SEA07CA162 , 06/16/2007 , VMC , Non-Fatal , Substantial ,1195
 SEA07CA175 , 06/16/2007 , VMC , Non-Fatal , Substantial ,1196
 CHI07LA170 , 06/16/2007 , VMC , Non-Fatal , Substantial ,1197
 NYC07LA143 , 06/16/2007 , VMC , Non-Fatal , Substantial ,1198
 DCA07WA049 , 06/16/2007 , VMC , Fatal(6) , Destroyed ,1199
 LAX07LA195 , 06/16/2007 , VMC , Non-Fatal , Substantial ,1200
 DEN07FA100 , 06/16/2007 , VMC , Fatal(1) , Destroyed ,1201
 LAX07LA148 , 06/16/2007 , VMC , Fatal(2) , Destroyed ,1202
 WAS07WA048 , 06/16/2007 , VMC , Fatal(6) , Destroyed ,1203
 ANC07CA050 , 06/15/2007 , VMC , Non-Fatal , Substantial ,1204
 SEA07LA158 , 06/15/2007 , IMC , Fatal(3) , Destroyed ,1205
 DFW07WA137 , 06/15/2007 , VMC , Fatal(2) , Destroyed ,1206
 SEA07CA161 , 06/15/2007 , VMC , Non-Fatal , Destroyed ,1207
 CHI07CA169 , 06/15/2007 , VMC , Non-Fatal , Substantial ,1208
 ATL07CA093 , 06/15/2007 , VMC , Non-Fatal , Substantial ,1209
 CHI07CA171 , 06/15/2007 , VMC , Non-Fatal , Substantial ,1210
 SEA07CA157 , 06/14/2007 , VMC , Non-Fatal , Substantial ,1211
 SEA07CA159 , 06/14/2007 , VMC , Non-Fatal , Substantial ,1212
 SEA07FA165 , 06/14/2007 , VMC , Fatal(1) , Substantial ,1213
 ATL07LA089 , 06/14/2007 , VMC , Fatal(1) , Substantial ,1214
 CHI07LA168 , 06/13/2007 , VMC , Non-Fatal , Substantial ,1215
 ANC07LA048 , 06/13/2007 , VMC , Non-Fatal , Substantial ,1216
 ATL07CA090 , 06/13/2007 , VMC , Non-Fatal , Substantial ,1217
 NYC07CA137 , 06/13/2007 , IMC , Non-Fatal , Substantial ,1218
 DFW07WA135 , 06/13/2007 , IMC , Fatal(2) , Destroyed ,1219
 LAX07IA191 , 06/13/2007 , VMC , Incident ,  ,1220
 SEA07CA153 , 06/12/2007 , VMC , Non-Fatal , Substantial ,1221
 SEA07LA155 , 06/12/2007 , VMC , Non-Fatal , Substantial ,1222
 DFW07CA140 , 06/12/2007 , VMC , Non-Fatal , Substantial ,1223
 SEA07LA156 , 06/12/2007 , VMC , Non-Fatal , Substantial ,1224
 SEA07LA154 , 06/12/2007 , VMC , Non-Fatal , Substantial ,1225
 ATL07LA088 , 06/11/2007 , VMC , Non-Fatal , Substantial ,1226
 ANC07FA047 , 06/11/2007 , VMC , Non-Fatal , Destroyed ,1227
 NYC07LA136 , 06/11/2007 , VMC , Non-Fatal , Substantial ,1228
 CHI07CA165 , 06/11/2007 , VMC , Non-Fatal , Substantial ,1229
 NYC07CA132 , 06/11/2007 , VMC , Non-Fatal , Substantial ,1230
 NYC07CA135 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1231
 SEA07CA168 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1232
 SEA07CA151 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1233
 ANC07CA043 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1234
 SEA07CA149 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1235
 DFW07CA132 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1236
 ANC07LA044 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1237
 SEA07LA170 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1238
 SEA07LA166 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1239
 MIA07LA109 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1240
 MIA07CA106 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1241
 SEA07LA152 , 06/10/2007 , VMC , Non-Fatal , Substantial ,1242
 MIA07CA108 , 06/09/2007 , VMC , Non-Fatal , Substantial ,1243
 NYC07LA138 , 06/09/2007 , VMC , Non-Fatal , Substantial ,1244
 ANC07LA046 , 06/09/2007 , VMC , Non-Fatal , Substantial ,1245
 DFW07CA131 , 06/09/2007 , VMC , Non-Fatal , Substantial ,1246
 DEN07CA099 , 06/08/2007 , VMC , Non-Fatal , Substantial ,1247
 SEA07CA169 , 06/08/2007 , VMC , Non-Fatal , Substantial ,1248
 CHI07CA166 , 06/08/2007 , VMC , Non-Fatal , Destroyed ,1249
 NYC07LA134 , 06/08/2007 , VMC , Non-Fatal , Substantial ,1250
 NYC07CA133 , 06/07/2007 , VMC , Non-Fatal , Substantial ,1251
 DFW07LA130 , 06/07/2007 , VMC , Non-Fatal , Substantial ,1252
 SEA07FA148 , 06/07/2007 , IMC , Fatal(2) , Substantial ,1253
 CHI07LA167 , 06/07/2007 , VMC , Non-Fatal , Substantial ,1254
 ANC07LA045 , 06/07/2007 , VMC , Non-Fatal , Substantial ,1255
 SEA07LA147 , 06/06/2007 , VMC , Non-Fatal ,  ,1256
 DFW07CA129 , 06/06/2007 , VMC , Non-Fatal , Substantial ,1257
 DFW07LA138 , 06/06/2007 , VMC , Non-Fatal , Substantial ,1258
 CHI07CA161 , 06/05/2007 , VMC , Non-Fatal , Substantial ,1259
 CHI07CA163 , 06/05/2007 , VMC , Non-Fatal , Substantial ,1260
 SEA07CA146 , 06/05/2007 , VMC , Non-Fatal , Substantial ,1261
 MIA07WA105 , 06/05/2007 , IMC , Fatal(2) , Substantial ,1262
 CHI07LA162 , 06/05/2007 , VMC , Fatal(1) , Destroyed ,1263
 ATL07GA087 , 06/05/2007 , VMC , Non-Fatal , Substantial ,1264
 CHI07MA160 , 06/04/2007 , VMC , Fatal(6) , Destroyed ,1265
 NYC07FA130 , 06/04/2007 , IMC , Fatal(1) , Substantial ,1266
 LAX07LA186 , 06/04/2007 , IMC , Non-Fatal , Substantial ,1267
 ENG07IA030 , 06/04/2007 , IMC , Incident , Minor ,1268
 SEA07CA144 , 06/04/2007 , VMC , Non-Fatal , Substantial ,1269
 SEA07CA150 , 06/03/2007 , VMC , Non-Fatal , Substantial ,1270
 SEA07CA143 , 06/03/2007 , VMC , Non-Fatal , Substantial ,1271
 LAX07CA187 , 06/03/2007 , VMC , Non-Fatal , Destroyed ,1272
 DFW07WA133 , 06/03/2007 , VMC , Fatal(1) , Destroyed ,1273
 NYC07WA129 , 06/03/2007 , VMC , Fatal(1) , Substantial ,1274
 DEN07LA098 , 06/03/2007 , VMC , Non-Fatal ,  ,1275
 SEA07LA188 , 06/03/2007 , VMC , Non-Fatal , Substantial ,1276
 LAX07LA184 , 06/02/2007 , VMC , Non-Fatal , Substantial ,1277
 NYC07WA142 , 06/02/2007 , VMC , Fatal(4) , Substantial ,1278
 ANC07WA041 , 06/02/2007 , VMC , Fatal(1) , Destroyed ,1279
 LAX07CA185 , 06/02/2007 , VMC , Non-Fatal , Destroyed ,1280
 DFW07CA127 , 06/02/2007 , VMC , Non-Fatal , Substantial ,1281
 NYC07CA131 , 06/02/2007 , VMC , Non-Fatal , Substantial ,1282
 NYC07CA139 , 06/02/2007 , VMC , Non-Fatal , Substantial ,1283
 DFW07CA125 , 06/02/2007 , VMC , Non-Fatal , Destroyed ,1284
 DFW07LA158 , 06/02/2007 , VMC , Non-Fatal , Substantial ,1285
 DEN07CA097 , 06/01/2007 , VMC , Non-Fatal , Substantial ,1286
 DFW07CA128 , 06/01/2007 , VMC , Non-Fatal , Substantial ,1287
 DFW07CA126 , 06/01/2007 , VMC , Non-Fatal , Substantial ,1288
 ANC07CA042 , 06/01/2007 , VMC , Non-Fatal , Substantial ,1289
 LAX07CA183 , 06/01/2007 , VMC , Non-Fatal , Substantial ,1290
 LAX07CA181 , 06/01/2007 , VMC , Non-Fatal , Substantial ,1291
 LAX07CA182 , 06/01/2007 , VMC , Non-Fatal , Destroyed ,1292
 DEN07WA106 , 06/01/2007 , VMC , Non-Fatal , Minor ,1293
 SEA07GA142 , 06/01/2007 , VMC , Fatal(2) , Substantial ,1294
 SEA07LA141 , 05/31/2007 , VMC , Non-Fatal , Substantial ,1295
 LAX07WA190 , 05/31/2007 , VMC , Incident ,  ,1296
 SEA07LA140 , 05/30/2007 , VMC , Non-Fatal , Substantial ,1297
 ANC07LA040 , 05/30/2007 , VMC , Non-Fatal , Substantial ,1298
 DFW07LA124 , 05/30/2007 , VMC , Fatal(1) , Destroyed ,1299
 CHI07LA159 , 05/30/2007 , VMC , Non-Fatal , Substantial ,1300
 ATL07LA086 , 05/30/2007 , VMC , Non-Fatal , Substantial ,1301
 MIA07CA104 , 05/30/2007 , VMC , Non-Fatal , Substantial ,1302
 SEA07CA139 , 05/29/2007 , VMC , Non-Fatal , Substantial ,1303
 DFW07CA123 , 05/29/2007 , VMC , Non-Fatal , Substantial ,1304
 MIA07CA103 , 05/29/2007 , VMC , Non-Fatal , Substantial ,1305
 DEN07CA094 , 05/28/2007 , VMC , Non-Fatal , Substantial ,1306
 CHI07CA158 , 05/28/2007 , VMC , Non-Fatal , Substantial ,1307
 LAX07CA178 , 05/28/2007 , VMC , Non-Fatal , Substantial ,1308
 SEA07FA134 , 05/28/2007 , VMC , Fatal(1) , Substantial ,1309
 SEA07LA135 , 05/28/2007 , VMC , Fatal(1) , Destroyed ,1310
 SEA07LA137 , 05/28/2007 , VMC , Non-Fatal , Substantial ,1311
 LAX07LA179 , 05/28/2007 , VMC , Non-Fatal , Substantial ,1312
 CHI07LA157 , 05/27/2007 , VMC , Fatal(1) , Substantial ,1313
 NYC07LA149 , 05/27/2007 , VMC , Non-Fatal , Substantial ,1314
 MIA07LA102 , 05/27/2007 , VMC , Fatal(1) , Substantial ,1315
 ATL07CA085 , 05/27/2007 , VMC , Non-Fatal , Substantial ,1316
 LAX07CA177 , 05/27/2007 , VMC , Non-Fatal , Substantial ,1317
 LAX07CA176 , 05/26/2007 , VMC , Non-Fatal , Substantial ,1318
 SEA07CA136 , 05/26/2007 , VMC , Non-Fatal , Substantial ,1319
 ANC07CA039 , 05/26/2007 , VMC , Non-Fatal , Substantial ,1320
 NYC07CA127 , 05/26/2007 , VMC , Non-Fatal , Substantial ,1321
 OPS07IA004A , 05/26/2007 , VMC , Incident ,  ,1322
 OPS07IA004B , 05/26/2007 , VMC , Incident ,  ,1323
 NYC07FA126 , 05/26/2007 , VMC , Fatal(3) , Destroyed ,1324
 LAX07LA175 , 05/25/2007 , VMC , Fatal(1) , Substantial ,1325
 CHI07CA155 , 05/25/2007 , VMC , Non-Fatal , Substantial ,1326
 CHI07CA156 , 05/25/2007 , VMC , Non-Fatal , Substantial ,1327
 NYC07CA128 , 05/25/2007 , VMC , Non-Fatal , Substantial ,1328
 MIA07WA145 , 05/25/2007 , VMC , Unavailable , Substantial ,1329
 MIA07CA101 , 05/24/2007 , VMC , Non-Fatal , Substantial ,1330
 DEN07CA096 , 05/24/2007 , VMC , Non-Fatal , Substantial ,1331
 DFW07CA121 , 05/24/2007 , VMC , Non-Fatal , Substantial ,1332
 LAX07LA173 , 05/24/2007 , VMC , Non-Fatal , Substantial ,1333
 DFW07LA120 , 05/24/2007 , VMC , Fatal(1) , Substantial ,1334
 ENG07WA041 , 05/24/2007 , VMC , Incident ,  ,1335
 NYC07LA125 , 05/23/2007 , VMC , Non-Fatal , Substantial ,1336
 NYC07LA124 , 05/23/2007 , VMC , Fatal(2) , Substantial ,1337
 CHI07LA154 , 05/23/2007 , VMC , Non-Fatal , Substantial ,1338
 DFW07LA157 , 05/23/2007 , VMC , Non-Fatal , Substantial ,1339
 DEN07WA093 , 05/23/2007 , VMC , Fatal(1) , Substantial ,1340
 LAX07LA180 , 05/23/2007 , VMC , Non-Fatal , Substantial ,1341
 LAX07CA174 , 05/23/2007 , VMC , Non-Fatal , Substantial ,1342
 LAX07CA172 , 05/22/2007 , VMC , Non-Fatal , Substantial ,1343
 CHI07CA152 , 05/22/2007 , VMC , Non-Fatal , Substantial ,1344
 DFW07GA119 , 05/22/2007 , VMC , Fatal(1) , Destroyed ,1345
 NYC07LA123 , 05/22/2007 , VMC , Non-Fatal , Substantial ,1346
 SEA07LA249 , 05/22/2007 , IMC , Fatal(1) , Destroyed ,1347
