RegistrationNumber,AircraftCategory,Make,Model,AmateurBuilt,NumberofEngines,EngineType,passenger_seats,AirportCode
 N757CX ,Airplane, Dassault-Breguet , Mystere Falcon 20-F5 , No ,2,Reciprocating,382,WSX
 N38730 , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,240, 4G7 
 N80132 , Airplane , Cessna , 172-M , No ,1, Reciprocating ,247, 81D 
 N83228 , Airplane , Aeronca , 7AC , No ,1, Reciprocating ,267, TEW 
 N97464 , Airplane , Cessna , 172P , No ,1, Reciprocating ,370, ENW 
 N5895U ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,329, RYN 
 N9461 ,Airplane, Cessna ,210, No ,1, Reciprocating ,217, UXL 
 N7343P ,Airplane, Cessna , P210N , No ,1, Reciprocating ,163,LOA
 N51827 ,Airplane, Cessna , 172R , No ,1, Reciprocating ,350, SUS 
N2127Z,Airplane, Agusta , A.109 Mk.II , No ,2,Reciprocating,345,ARK
 N533ER , Airplane , Cessna , 172S , No ,1, Reciprocating ,300, PAN 
 N119C , Airplane , Mooney , M-18L , No ,1, Reciprocating ,348, EKY 
 N33180 , Airplane , Piper , J5A , No ,1, Reciprocating ,254, KOFP 
 N8581W , Airplane , Piper , PA28-235 , No ,1, Reciprocating ,234, RHV 
 N1960B , Airplane , Luscombe , 8A , No ,1, Reciprocating ,273, HIE 
 N45316 , Airplane , Cessna , 150M , No ,1, Reciprocating ,275, 0Q9 
 N5312X , Balloon , Cameron Balloons , A-250 , No ,2,Reciprocating,220,FNV
 None , Gyrocraft ," Rotor Flight Dynamics, Inc. ", Dominator , Yes ,1, Reciprocating ,284,EOK
N4965P,Airplane, Boeing , B737-800 ,No,2,Reciprocating,180,BNK
 N12152 , Airplane , Cessna , 172S , No ,1, Reciprocating ,190, MGJ 
 N16HY ,Airplane, Aviat , A-1A , No ,1, Reciprocating ,349, KFRG 
 N403RA ,Airplane, Cessna , 182A , No ,1, Reciprocating ,398, 2B1 
 N97648 , Airplane , Stinson ,108, No ,1, Reciprocating ,316, AUN 
 None ,Airplane, Lee Stevens , Sorrell SNS-2 Guppy , Yes ,1, Reciprocating ,360, OP2 
 N53WT ,Airplane, Cessna , 414A , No ,2, Reciprocating ,280, SUE 
 N2600N ,Airplane, Piper , PA38-112 , No ,1, Reciprocating ,303, FME 
 N4217V ,Airplane, Cessna ,170, No ,1, Reciprocating ,309, 4AK6 
 N462ER , Airplane , Cessna , 172SP , No ,1, Reciprocating ,323, KDAB 
 N668FA , Airplane , Grumman-Schweizer , G-164B , No ,1, Turbo Prop ,282,GLK
 N1478E , Airplane , Aeronca , 7AC , No ,1, Reciprocating ,242, NONE 
 N609PF , Airplane , Cessna , 180G , No ,1, Reciprocating ,355, NONE 
 N1394C , Airplane , Piper , PA-22 , No ,1, Reciprocating ,221, 2S7 
 N809MS , Airplane , Piper , PA28R-201 , No ,1, Reciprocating ,238, LEE 
 N2834U , Airplane , Piper , PA-28-181 , No ,1, Reciprocating ,301, LAS 
 N735DP , Airplane , CESSNA , 182Q , No ,1, Reciprocating ,195,DHZ
 N22HP , Airplane , CESSNA , S550 , No ,2, Turbo Jet ,170, DLN 
 N5234A , Airplane , Grumman , S-2B , No ,2, Reciprocating ,248, NKT 
 N5038K ,Airplane, Bellanca , 8KCAB , No ,1, Reciprocating ,160,GAS
 N7462E ,Airplane, Cessna ,210, No ,1, Reciprocating ,381, YNG 
 N10028 ,Airplane, Walker , Zenith Zodiac 601 XL , No ,1, Reciprocating ,156, HHF 
 N3210L ,Airplane, Beech , V35B , No ,1, Reciprocating ,197, 0V7 
 N119TC ,Airplane, LIVPT INC , Lancair IV-P , Yes ,1, Turbo Prop ,202, MFE 
 N270AX , Airplane , MCDONNELL DOUGLAS , DC-10-30 , No ,3, Turbo Fan ,331, ATL 
 N7273M , Airplane , Cessna , 172R , No ,1, Reciprocating ,343, LNA 
N7733T,Airplane, Eurocopter , AS355F2 ,No,2,Reciprocating,378,OPV
 N169BC ,Airplane, Ceridono , Vegas Sport Flyer , Yes ,1, Reciprocating ,396, 3L2 
 N97224 , Airplane , Cessna , 172P , No ,1, Reciprocating ,300, DPA 
 N185M ,Airplane, Cessna , A185F , No ,1, Reciprocating ,375,RPJ
 N1120B , Airplane , Luscombe , 8A , No ,1, Reciprocating ,354, 39Z 
 N145RL , Airplane , Piper , J3C-65 , No ,1, Reciprocating ,264, O85 
 N177R , Airplane , Cessna , 177RG , No ,1, Reciprocating ,346, L65 
 N8820M ,Airplane, Beech , S35 , No ,1, Reciprocating ,390,PDQ
 N28BC , Airplane , Cessna , 172R , No ,1, Reciprocating ,290, LVK 
 N629LA , Airplane , Air Tractor , AT-602 , No ,1, Turbo Shaft ,181, UNK 
 N1911V , Airplane , Cessna , 172M , No ,1, Reciprocating ,259, KAST 
 N28989 , Airplane , Piper , PA-28-201T , No ,1, Reciprocating ,300, UNK 
 N121RM , Airplane , Acro Sport , Acroduster II SA750 , Yes ,1, Reciprocating ,277, AEG 
 N3974Y , Airplane , Cessna , 210D , No ,1, Reciprocating ,242, HAO 
 N445SM ,Airplane, McDonald , J4B-2 , Yes ,1, Reciprocating ,266,RRI
 N97287 ,Airplane, Cessna , 182Q , No ,1, Reciprocating ,233,TZF
 N3172L ,Airplane, Beech , B36TC , No ,1, Reciprocating ,328,UQN
 N180GW , Airplane , Cessna ,180, No ,1, Reciprocating ,197, KBMC 
N4352B,Airplane, Boeing , 737-300 , No ,2,Reciprocating,305,YHI
 N360DD , Airplane , BISHOP THOMAS W , BISHOP-ACRO , Yes ,1, Reciprocating ,296, 4SD 
 N3613M , Airplane , Piper , PA-12 , No ,1, Reciprocating ,365,KYJ
 N123KS ,Airplane, Schleicher Alexander GMBH , ASH 26E , No ,1, Reciprocating ,334,JSL
 N555ES ,Airplane, Piper , PA 46-350P , No ,1, Reciprocating ,268, SSI 
 N851BG , Glider , Burkhart Grob , G102 CLUB ASTIR IIIB , No ,0,Reciprocating,176, MEV 
 N22QT , Airplane , Flight Design , CTSW , No ,1, Reciprocating ,203, KFME 
 N634MA ,Airplane, Britten-Norman , BN-2A-20 , No ,2, Reciprocating ,329, 6S5 
 N407AT ,Airplane, Aerospatiale , ATR 72-212 , No ,2, Turbo Prop ,269,XSF
 N52988 , Helicopter , Wilkinson Daniel V , Rotorway Exec 90 , Yes ,1, Reciprocating ,209, PVT 
 N1273E , Airplane , Cessna , T206H , No ,1, Reciprocating ,382, GCN 
 N211RT , Airplane , Tolsma Tony G , Avid Magnum , Yes ,1, Reciprocating ,303, 06U 
N3229I,Airplane, Cessna ,210, No ,2,Reciprocating,329,LXV
 N50486 , Airplane , Cessna , 150J , No ,1, Reciprocating ,355,WOV
 N2524J , Airplane , Cessna , 150E , No ,1, Reciprocating ,243, KLLN 
 N674F , Airplane , Flagg , Kitfox IV , Yes ,1, Reciprocating ,357, TE01 
 N751EW , Airplane , Gadbois , Apex Cross 5 , No ,1, Reciprocating ,247, SOW 
 N7535Z , Helicopter , Robinson , R-22 Beta II , No ,1, Reciprocating ,294,JPH
 N40520 , Airplane , Piper , PA-18 , No ,1, Reciprocating ,204, S39 
 N3124L ,Airplane, Riesland , Fly Baby 1 , Yes ,1, Reciprocating ,261,QXR
 N49108 , Airplane , Cessna ,152, No ,1, Reciprocating ,340, SAT 
 N92993 ,Airplane, Hiller , UH-12C , No ,1, Reciprocating ,181,PVD
 N502CK ,Airplane, Beech , D18S , No ,2, Turbo Prop ,190, 9Z8 
N4923J,Airplane, Erickson , S-64F , No ,2,Reciprocating,170,ZGJ
 N9247T , Airplane , Piper Aircraft , PA-38-112 , No ,1, Reciprocating ,218,HWY
 N3700G , Airplane , Cessna , 310R , No ,2, Reciprocating ,168, E05 
 N72953 , Airplane , Cessna ,140, No ,1, Reciprocating ,352,FSK
 N1557Q , Airplane , Cessna , 150L , No ,1, Reciprocating ,383, WVI 
 N679DM ,Airplane, Piper , PA-32-300 , No ,1, Reciprocating ,242, RIC 
 N7534S , Helicopter , Robinson , R-22 Beta , No ,1, Reciprocating ,227, KDWH 
N4000U,Airplane, Britten-Norman , BN2A Islander , No ,2,Reciprocating,267,TKX
 N6277E ,Airplane, Cessna , 182R , No ,1, Reciprocating ,176,EFT
 N7224T ,Airplane, Cessna , 172A , No ,1, Reciprocating ,239, 61X 
 N648SW , Airplane , BOEING , 737-300 , No ,2, Turbo Fan ,322,USG
 N11AS , Helicopter , HUGHES , 369D , No ,1, Turbo Shaft ,264,EGQ
 N402UP ,Airplane, Boeing , 757-24APF , No ,2, Turbo Fan ,169, BUR 
 N1646G , Airplane , Champion , 7GCAA , No ,1, Reciprocating ,276,KYY
 N3579A , Airplane , Piper , PA-22 , No ,1, Reciprocating ,150, SXQ 
 N800CP , Airplane , Maule , MXT-7-180 , No ,1, Reciprocating ,154, NONE 
 N40SW , Airplane , Bird , Seawind 3000 , Yes ,1, Reciprocating ,224,IWC
 N6341N , Airplane , Champion , 7ECA , No ,1, Reciprocating ,343, ASH 
 N8171V ,Airplane, Piper , PA-28-161 , No ,1, Reciprocating ,373, PAO 
 N360MM ,Airplane," Murphy Aircraft Mfg, Ltd. ", SR3500 Moose , Yes ,1, Reciprocating ,181, 61AR 
 N5647C ,Airplane, Beech ,58, No ,2, Reciprocating ,160,HYE
 N366W , Glider , Jiran , FJ-1 , Yes ,0,Reciprocating,158,SZV
 N219SH , Helicopter , Bell , 206-B , No ,1, Turbo Jet ,312, 03TN 
 N8893S , Airplane , Cessna , 150F , No ,1, Reciprocating ,272, 7MI2 
 N29100 , Airplane , Cessna , U206-C , No ,1, Reciprocating ,176, NONE 
 N186AS , Airplane ," Rans, Inc. ", RV-4 , Yes ,1, Reciprocating ,299, SEM 
 N904FR ,Airplane, Airbus Industrie , A319-111 , No ,2, Turbo Fan ,231, KATL 
 N5651Y ,Airplane, Piper , PA-23-250 , No ,2, Reciprocating ,182, KIJD 
 N382BT , Helicopter , Robinson Helicopter Company , R44 II , No ,1, Reciprocating ,362,FSI
N6095Z,Airplane, Sikorsky , 76-C+ , No ,2,Reciprocating,316,ZLU
 N50ML , Airplane , Diamond Aircraft Industries , DA 20-A1 , No ,1, Reciprocating ,345,SOH
 N37CA ,Airplane, Smith Carter A , Wheeler Exp 2000 , Yes ,1, Reciprocating ,289, SUA 
 N4TR ,Airplane, Piper , PA-23-250 , No ,2, Reciprocating ,345,PLO
N4504M,Airplane, Bell ,206, No ,2,Reciprocating,280,NQS
 N6140U , Airplane , Neal Anderson , Comp Air 6 , Yes ,1, Reciprocating ,355,LXE
 N5528F , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,172,DQX
 N231E , Airplane , PZL Warzawa-CNPSL , PZL-104 Wilga 35A , No ,1, Reciprocating ,368,PNJ
 N971SH ,Airplane, Robinson , R22 Beta , No ,1, Reciprocating ,233, VHN 
 N991RW ,Airplane, Robinson , R22 Beta , No ,1, Reciprocating ,298, VHN 
 N222MQ , Helicopter , Robinson , R22 Beta , No ,1, Reciprocating ,260, U77 
 N99811 , Airplane , Engineering & Research , Ercoupe 415-C , No ,1, Reciprocating ,188, 45G 
 N299AA ,Airplane, Cessna , 182A , No ,1, Reciprocating ,320, 4M7 
 N6513M , Airplane , Stinson , 108-3 , No ,1, Reciprocating ,332,NEH
 N3523J , Airplane , Cessna , 150E , No ,1, Reciprocating ,154, LLN 
 N1041Z , Airplane , Johnson-Whittman Tailwind , JW9L , Yes ,1, Reciprocating ,270,JFD
 N130WS ,Airplane, Eurocopter , EC 130 B4 , No ,1, Turbo Shaft ,177,VKX
 N422G , Airplane , CESSNA , 182Q , No ,1, Reciprocating ,245,FNV
 N911FT , Helicopter , HUGHES , 369D , No ,1, Turbo Shaft ,386, HI58 
 N4535N ,Airplane, Grumman American , AA-5B , No ,1, Reciprocating ,250, DAN 
N4753Q,Airplane, Boeing , 747-300 , No ,2,Reciprocating,189,PID
 N7546X , Airplane , Cessna , 172B , No ,1, Reciprocating ,328, WHP 
 N35562 , Airplane , Cessna , 172I , No ,1, Reciprocating ,159, 1G4 
 N2874B , Airplane , CESSNA , U206G , No ,1, Reciprocating ,278, 3FL0 
 N11798 , Airplane , Monocoupe Aircraft , 90A , No ,1, Reciprocating ,166, LAL 
 N6251T , Airplane , Cessna , 150E , No ,1, Reciprocating ,273, SNL 
 N868ST ,Airplane, Beech , 95-B55 , No ,2, Reciprocating ,385, SLK 
 N46AR ,Airplane, Beech , 1900D , No ,2,Reciprocating,206,LOB
N0417Q,Airplane, Sikorsky , S61N , No ,2,Reciprocating,192,EON
 N8168N ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,263,XEF
 N555X , Airplane , Robert J. Goodyear , Hummel Bird , Yes ,1, Reciprocating ,157, LAL 
 N93V ,Airplane, de Havilland , DHC-2 , No ,1, Reciprocating ,365, PANC 
 N3115U , Airplane , Maule , MT-7-235 , No ,1, Reciprocating ,400, CCR 
 N49902 , Airplane , Cessna ,152, No ,1, Reciprocating ,390,THQ
 N464SB , Airplane , North American Aviation Div. , T-28C , No ,1, Reciprocating ,376,HIL
 N3529H ,Airplane, Mooney , M20C , No ,1, Reciprocating ,382, I12 
 N4712Z ,Airplane, Piper , PA-22-108 , No ,1, Reciprocating ,209,QKK
 C-GFPQ ,Airplane, Rolladen-Schneider , LS8-18 , No ,0,Reciprocating,324,JPB
 N4946R ,Airplane, Piper , PA-46-350P , No ,1, Reciprocating ,176, FXE 
 N456TS ,Airplane, Terrence A. Sack , Terrair Express , Yes ,1, Reciprocating ,367, KLAL 
 N799WB ,Airplane, Browns , Vans RV-7A , Yes ,1, Reciprocating ,199,YAU
 N9556Y ,Airplane, Beech , 35-B33 , No ,1, Reciprocating ,188, KSEX 
 N725ES , Airplane , Dwayne Smith , RV-6 , Yes ,1, Reciprocating ,386,BBK
 N3280Y , Airplane , Cessna , 182E , No ,1, Reciprocating ,150, T40 
 N28428 , Airplane , Luscombe , 8A , No ,1, Reciprocating ,178, 3WI9 
 N899P , Airplane , Pavliga , Hatz CB-1 , Yes ,1, Reciprocating ,283, CFE 
 N967SP , Airplane , Cessna , 172S , No ,1, Reciprocating ,346, APF 
 N4756E , Airplane , Cessna , A185F , No ,1, Reciprocating ,187, NONE 
N2392O,Airplane, Boeing , B747-400 , No ,2,Reciprocating,189,VBI
 N2455G , Airplane , Cessna , 182B , No ,1, Reciprocating ,246,EUM
 N45FR ,Airplane, Romeo , Lancair Legacy RG , Yes ,1, Reciprocating ,374, FZY 
 N8969J ,Airplane, Piper , PA-28-180 , No ,1, Reciprocating ,344,DCA
 N101JJ ,Airplane, LET , Blanik L-13 , No ,0,Reciprocating,209, 46CN 
 N505TW ,Airplane, Glaser-Dirks , DG 505 Elan , No ,0,Reciprocating,187, 46CN 
 N8543W ,Airplane, Consolidated Aeronautics Inc. , Lake LA-4-200 , No ,1, Reciprocating ,266, SRQ 
 N156LB ,Airplane, ARBC Inc , 150A , No ,0,Reciprocating,372,BPS
 N770C , Airplane , Piper , PA-31-350 , No ,2, Reciprocating ,273,OKA
 N3022T , Airplane , Cessna , 320C , No ,2, Reciprocating ,389, KTKI 
 N30WH , Airplane , Bellanca , 7GCBC , No ,1, Reciprocating ,230, KPTV 
 N4204S ,Airplane, Charles C. Gillis , Pitts S2S , Yes ,1, Reciprocating ,249, FL97 
 N8905F , Airplane , Bombardier , CL-600-2B19 , No ,2, Turbo Fan ,316, KTVC 
 N9685Q , Airplane , Cessna , 172M , No ,1, Reciprocating ,165, KSCK 
 N756HQ , Airplane , Cessna , U206G , No ,1, Reciprocating ,256, GEU 
 N525UA ,Airplane, Boeing , 757-200 , No ,2, Turbo Jet ,258, KLAX 
 N47944 , Airplane , Piper , PA-28R-201 , No ,1, Reciprocating ,326,SJI
 N125WG ,Airplane, Swearingen , SA-226T , No ,2, Turbo Prop ,203, PWK 
 N666AC ,Airplane," Culver, Aurther L. ", Seawind 3000 , Yes ,1, Reciprocating ,204, DAN 
 N77RE , Airplane , Cessna , 210N , No ,1, Reciprocating ,398, FPK 
 N1258D , Airplane , Cessna , 170A , No ,1, Reciprocating ,230, FTG 
 N9253T , Airplane , Cessna , 180C , No ,1, Reciprocating ,279, SAF 
 N444JH ,Airplane, Piper , PA-46-310P , No ,1, Reciprocating ,240,WXP
 N6380S , Airplane , Cessna , C-150G , No ,1, Reciprocating ,156, EDN 
N7835K,Airplane, Piper , PA-28R-201T , No ,2,Reciprocating,264,DQB
 N351DW ,Airplane, Wakewood , Lancair O-200 , Yes ,1, Reciprocating ,347,RHX
 N6267D ,Airplane, Cessna , 172N , No ,1, Reciprocating ,187, PGA 
 N21423 ,Airplane, Piper , PA-32RT-300T , No ,1, Reciprocating ,215, KRHP 
 N953CD ,Airplane, Cirrus , SR22 , No ,1, Reciprocating ,224,LIW
 N460B ,Airplane, Beech ,35, No ,1, Reciprocating ,365, TOP 
 N42487 ,Airplane, Piper , PA-28-151 , No ,1, Reciprocating ,253, Z95 
 N173ST ,Airplane, Diemert/Rotorway , Exec 162 F , Yes ,1, Reciprocating ,280,WGL
 N706X ,Airplane, Scottish Aviation , Bulldog 120 , No ,1, Reciprocating ,218,GVQ
 N3329C , Airplane , Beech , F-35 , No ,1, Reciprocating ,354, N/A 
 N6555S , Airplane , Cessna , C-150H , No ,1, Reciprocating ,247, PVT 
 N691CD , Airplane , Cirrus Design Corp. , SR20 , No ,1, Reciprocating ,184, JYO 
 N20HD , Airplane , Barnett , MA-5 Charger , Yes ,1, Reciprocating ,234, E16 
 N1079M , Airplane , Cessna , 172L , No ,1, Reciprocating ,236, VGT 
 N8FA ,Airplane, American Aviation Corp. (AAC) , AA-1A , No ,1, Reciprocating ,151,AIW
 N46913 ,Airplane, Cessna ,152, No ,1, Reciprocating ,333,KZP
 N77181 , Airplane , Canadair , CL-600-2B19 , No ,2, Turbo Fan ,253, ORD 
 N8340B ,Airplane, Cessna ,172, No ,1, Reciprocating ,372, L77 
 N4379A ,Airplane, Piper , PA-32R-301T , No ,1, Reciprocating ,346, LHM 
 N6363G ,Airplane, Cessna ,150, No ,1, Reciprocating ,267, UUO 
 N107WB , Airplane , Beech , D50E , No ,2, Reciprocating ,340, DCU 
 N7893F ,Airplane, Cessna , 150F , No ,1, Reciprocating ,248,QRO
 N89193 , Airplane , Cessna ,152, No ,1, Reciprocating ,369,CBO
 N35MM , Airplane , Waco Classic Aircraft , YMF-F5C , No ,1, Reciprocating ,258, KSUA 
 N6096F ,Airplane, Champion , 7ECA , No ,1, Reciprocating ,344, EAT 
 N555EM ,Airplane, Piper , PA-30 , No ,1, Reciprocating ,248,QUW
 N101LX ,Airplane, Burton , Fly Baby , Yes ,1, Reciprocating ,387,XEN
 N882JB ,Airplane, Luscombe , 8F , No ,1, Reciprocating ,201, OCF 
 N368AM , Airplane , AC Mfg & Dev't Co , CH 2000 , No ,1, Reciprocating ,186, MAE 
 N3840K , Airplane , Boeing , E75N1 , No ,1, Reciprocating ,200, FZI 
N1607B,Airplane, Boeing , 747-400 Cargo , No ,2,Reciprocating,362,QMN
 N320 , Airplane , Carpenter , Lancair 320 , Yes ,1, Reciprocating ,304, WHP 
 N30465 ,Airplane, Piper , PA28-181 , No ,1, Reciprocating ,355,RAP
 N606S ,Airplane, Schilleci , RV-6 , Yes ,1, Reciprocating ,288, T69 
N4631R,Airplane, Israel Aircraft Industries ,1124, No ,2,Reciprocating,249,MVO
N8867D,Airplane, Piper , PA-34-200T , No ,2, Reciprocating ,209,NOM
 N3424Q ,Airplane, Cessna , 320E , No ,2, Reciprocating ,369, SCK 
 N9174D ,Airplane, Carris , Avid Aircraft , Yes ,1, Reciprocating ,262,GGL
 N828EW , Airplane , Cessna , 206G , No ,2, Reciprocating ,297, FXE 
 N81PC ,Airplane, Cessna , T210N , No ,1, Reciprocating ,291, OAK 
 N65067 , Airplane , Cessna , T206H , No ,1, Reciprocating ,352, KBOI 
 N4047K , Airplane , Navion , A , No ,1, Reciprocating ,239, 9B1 
 N46SA ,Airplane, Swearingen , SA-226T , No ,2, Turbo Prop ,174, KMYL 
 N199DA , Airplane , Aeroprakt , A-22 , No ,1, Reciprocating ,275,IVN
 N25612 ,Airplane, Beech , E-55 , No ,2, Reciprocating ,201, EYW 
 N8092T ,Airplane, Cessna ,175, No ,1, Reciprocating ,357,ZZR
 N455DB ,Airplane, Burdette , RV-3 , Yes ,1, Reciprocating ,232, KBTF 
 N601J ,Airplane, Johnson , Zodiac CH601 , Yes ,1, Reciprocating ,321,VLX
 N6SZ ,Airplane, Szybowcowy Zaklad DO , SZD-36A , No ,0,Reciprocating,234, KSCD 
 N244FX , Airplane , LEARJET ,M20E, No ,2, Turbo Fan ,236, KPSP 
 N4369K ,Airplane, Ryan , Navion A , No ,1, Reciprocating ,286,RSD
 N714DE , Airplane , Edwards , Wag-A-Bond , Yes ,1, Reciprocating ,150, 0L7 
 N968A , Airplane , Piper , PA-22 , No ,1, Reciprocating ,270,LUZ
 N6450X , Airplane , Cessna , 180D , No ,1, Reciprocating ,249, INW 
 N744 ,Airplane, Piper , PA-18 , No ,1, Reciprocating ,258, SWW 
 N494D ,Airplane, Randy Stanley , Rotoway Exc 162F , Yes ,1, Reciprocating ,151, 5R4 
 N877GA ,Airplane, McDonnell Douglas , DC-9-83 (MD-83) , No ,2, Turbo Fan ,324, SFB 
 N1MQ ,Airplane, Beech , BE-58 , No ,2, Reciprocating ,311, 3RU 
 N4010K ,Airplane, Eurocopter , AS 350 BA , No ,1, Turbo Shaft ,249, OGG 
 N992DC ,Airplane, Alon , A2 , No ,1, Reciprocating ,373, AKR 
 N33521 ,Airplane, Piper , PA-28-151 , No ,1, Reciprocating ,384, BLM 
N3869S,Airplane, Piper , PA28-181 , No ,2,Reciprocating,155,AXK
N2865E,Airplane, Embraer , E-170 , No ,2,Reciprocating,359,OCE
 N744SH ,Airplane, Robinson , R44 II , No ,1, Reciprocating ,265,KNF
 N57FH ,Airplane, Cessna , 172S , No ,1, Reciprocating ,180,FYQ
 N162MC , Helicopter , McCall , Rotorway 162F , Yes ,1, Reciprocating ,230,RKD
 N95129 , Airplane , Cessna , 172R , No ,1, Reciprocating ,332, ORL 
 N527PA , Airplane , Gates Learjet , 36A , No ,2, Turbo Fan ,360, PHF 
 N496SB , Helicopter , Boykin , Rotorway Exec 162F , Yes ,1, Reciprocating ,307, CMA 
 N53874 ,Airplane, Bellanca , 7ECA , No ,1, Reciprocating ,398, FWN 
 N90NM ,Airplane, Beech , BE-90 , No ,2, Turbo Prop ,371, KAGS 
 N69NV ,Airplane, PZL , 101A , No ,1, Reciprocating ,190, 88R 
 N854WT ,Airplane, Robinson , R22 Beta , No ,1, Reciprocating ,174,NGQ
 N66673 ,Airplane, Cessna , 150M , No ,1, Reciprocating ,385,NPA
 N229DH ,Airplane, Hackney , Glasair TD , Yes ,1, Reciprocating ,187,XSK
 N56124 ,Airplane, Piper , PA-28-140 , No ,1, Reciprocating ,339,FXN
 N771HC ,Airplane, Beech ,200, No ,2, Turbo Prop ,323, AXX 
 N704HF , Airplane , Cessna ,150, No ,1, Reciprocating ,169, OBE 
 N4988L , Airplane , Piper , PA-28A-180C , No ,1, Reciprocating ,286, FTY 
 N423DW , Airplane , Duffy/Wagner , Vans RV-4 , Yes ,1, Reciprocating ,378, OGD 
 N8384K , Airplane , Stinson ,108, No ,1, Reciprocating ,264, KLZU 
 N324ST , Airplane , PIPER , PA-32R-301 , No ,1, Reciprocating ,303, 0W3 
 N1981L , Airplane , Beech , B24R , No ,1, Reciprocating ,386, 50J 
 N4330Z , Airplane , Piper , PA-18-150 , No ,1, Reciprocating ,163,GCU
 N17XZ , Airplane , Harrison Robert J. , Longez , Yes ,1, Reciprocating ,339, MRN 
 N828BA , Helicopter , Bell , 206B , No ,1, Turbo Shaft ,263, NONE 
 N2124N , Airplane , Piper , PA-18 , No ,1, Reciprocating ,237,XJK
 N4644U ,Airplane, Cessna , T210N , No ,1, Reciprocating ,212, LVK 
 N360JP ,Airplane, Sukhoi , SU-29 , No ,1, Reciprocating ,370, LVK 
 N129KJ ,Airplane, Dassault Aviation , Mystere Falcon 900C , No ,3, Turbo Fan ,161, RIL 
N8014J,Airplane, Cessna , 208B , No ,2,Reciprocating,383,QEX
 N46567 , Airplane , Cessna , 172K , No ,1, Reciprocating ,299, KAJR 
N7767A,Airplane, Boeing ,747, No ,4, Turbo Fan ,265, PVG 
 N9596S , Airplane , Champion , 7ECA , No ,1, Reciprocating ,191, TN08 
 N128SL ,Airplane, Piaggio Industrie , P180 , No ,2, Turbo Prop ,152, FLL 
 N500JP ,Airplane, Beech , 95-B55 , No ,2, Reciprocating ,207, FTY 
 N231KZ ,Airplane, Mooney Aircraft , M20K , No ,1, Reciprocating ,298, MYV 
 N900Y ,Airplane, SOCATA , TB-20 Trinidad , No ,1, Reciprocating ,224, RHI 
 N90923 , Airplane , BELLANCA , 7ECA , No ,1, Reciprocating ,318, MS76 
 N9017M , Airplane , Bruce E. Hotz , Wind Wagon , Yes ,1, Reciprocating ,391, KLEE 
 N6463T , Airplane , Cessna , 150A , No ,1, Reciprocating ,387, 68S 
 N74347 , Helicopter , Robinson , R22 Beta 2 , No ,1, Reciprocating ,171, U42 
 N5931X , Helicopter , Brantly Helicopter , B2 , No ,1, Reciprocating ,354, F05 
N0397X,Airplane, Beech , 24R , No ,2,Reciprocating,281,NVK
N7142Q, Airplane , LOCKHEED , L188C , No ,2, Turbo Prop ,386, STN 
 N7023D ,Airplane, Jimenez Reymundo , Challenger II Specia , Yes ,1, Reciprocating ,151, TJAB 
 N96319 , Airplane , Cessna , 172P , No ,1, Reciprocating ,269, SFB 
 N4242U , Airplane , Cessna ,150, No ,1, Reciprocating ,397, KBFE 
 N56537 , Airplane , Maule , M-5 235C , No ,1, Reciprocating ,384, NONE 
 N7XS ,Airplane, James Walter , Hornet , Yes ,1, Reciprocating ,275, CXU 
 N511AT ,Airplane, Cessna ,500, No ,2, Turbo Jet ,250, BVY 
 N471KC , Helicopter , BELL , 47G2A , No ,1, Reciprocating ,373, 3M5 
 N5200C ,Airplane, Haddan , Sonerai IIL , Yes ,1, Reciprocating ,320, 61C 
 N75194 ,Airplane, Piper , PA-28-151 , No ,1, Reciprocating ,298, KS45 
 N74503 ,Airplane, Mooney , M20B , No ,1, Reciprocating ,154, KSGU 
 N584DP ,Airplane, Beech , 58P , No ,2, Reciprocating ,334, T40 
N6185C,Airplane, Boeing , 737-700 ,No,2,Reciprocating,337, LAS 
N2231Q,Airplane, McDonnell Douglas , MD-83 , No ,2,Reciprocating,216, LAS 
 N628TT , Airplane , Cessna , T210N , No ,1, Reciprocating ,206, KDAG 
 N829CL , Airplane , Caywood , Long-Ez , Yes ,1, Reciprocating ,242, KSEE 
 N5759t , Airplane , Cessna , 172E , No ,1, Reciprocating ,244, 57K 
 N6462A , Airplane , Cessna ,182, No ,1, Reciprocating ,304, KLMT 
 N72PK , Helicopter , Robinson , R-44-II , No ,1, Reciprocating ,202, JSJ 
 N63925 , Airplane , Aero Vodochody Aero. Works , L-39C , No ,1, Turbo Jet ,201, KTIX 
 N90319 , Airplane , Air Tractor , AT-502B , No ,1, Turbo Prop ,221, NONE 
 N196DM ,Airplane, Robinson , R-44-II , No ,1, Reciprocating ,385,ETN
 N662UA ,Airplane, Boeing , 767-300 , No ,2, Turbo Fan ,160, ORD 
 N7169Y ,Airplane, Piper , PA-30 , No ,2, Reciprocating ,380, K1U7 
 N214GP , Airplane , Pietsch , IT , Yes ,1, Reciprocating ,294, DGL 
 N3622S , Airplane , Cessna , 172E , No ,1, Reciprocating ,271,DEN
 N926JV , Helicopter , Aerospatiale , SA315B , No ,1, Turbo Shaft ,254,IQD
 N7681H , Helicopter , Robinson , R22 BETA , No ,1, Reciprocating ,220, BJC 
